Cluster	Id
4	414
4	519
0	278
2	1046
3	403
2	286
1	921
2	1411
0	1368
2	107
0	2733
3	196
2	496
0	346
0	5353
0	5384
-1	5065
0	3707
0	4860
1	3609
0	4899
3	190
1	499
-1	462
3	712
0	535
1	757
-1	576
0	1464
3	1551
2	2049
1	917
0	2297
3	5844
3	253
2	940
3	106
0	2903
0	5146
3	5861
0	5827
0	3897
0	4179
0	1719
3	893
2	1164
2	558
3	1501
3	103
2	454
0	1271
0	781
2	3087
0	4198
5	1050
3	1184
0	1354
2	1519
2	2138
2	2529
3	3026
0	448
0	1947
3	5496
0	2013
0	3640
-1	5527
0	1735
4	5534
2	1202
-1	5157
3	5542
3	5593
-1	5624
6	5884
0	3470
3	5944
2	4437
5	127
2	169
0	181
0	767
3	852
5	158
0	295
1	691
2	1066
-1	1043
0	1207
0	1292
0	1340
2	4101
0	1764
0	4253
0	3971
3	924
3	187
3	303
3	355
4	1293
-1	1845
2	1968
-1	1956
0	2090
0	1543
-1	2683
-1	2682
-1	2680
-1	2684
0	2657
0	3025
2	2564
0	3314
0	2017
3	3636
3	3994
0	395
-1	4275
0	4350
0	4281
0	4406
0	4584
0	3903
0	2848
2	5574
5	5604
0	5654
0	3444
-1	5629
-1	5528
-1	5965
2	389
2	1572
2	275
2	497
0	2318
3	998
3	170
2	183
2	1068
2	774
0	1743
2	4597
2	366
0	408
1	526
2	661
2	653
2	720
5	743
0	820
1	805
-1	896
0	1073
1	1239
2	3817
1	3922
0	4026
1	3915
0	3986
2	4174
0	4169
3	182
3	388
2	409
0	1499
2	5260
0	1267
3	154
2	236
1	532
1	1008
2	3852
0	452
0	530
2	211
0	3611
0	700
0	714
2	994
0	1873
1	1779
0	2437
0	3229
0	3000
0	3023
3	220
1	812
0	1948
2	515
3	1049
2	1051
1	1040
3	1182
0	1647
4	1758
3	1770
5	1772
4	1789
0	3669
-1	3801
3	445
2	2406
0	3512
3	580
2	581
1	585
3	600
3	601
3	602
3	611
3	622
2	663
0	2724
0	1636
2	1660
0	1662
3	1783
0	1725
3	624
0	1850
0	5569
1	5982
3	5991
2	1291
4	5676
2	457
-1	443
2	544
0	501
0	394
2	559
0	262
2	586
0	608
2	702
0	967
5	959
2	623
3	237
2	292
0	321
3	289
2	377
2	638
3	704
3	759
3	785
3	825
3	807
0	984
5	1518
1	2091
1	1301
3	2092
2	1170
3	2151
0	2054
3	2184
2	2032
3	2197
2	2162
0	2590
2	645
0	3391
2	3730
3	4096
2	3101
0	4478
0	1092
2	769
2	1168
0	1286
4	1476
-1	1510
2	2499
2	2562
1	4525
0	4204
2	307
2	907
3	843
2	818
2	902
3	1070
2	1119
3	1126
1	1048
1	1375
0	2306
2	2501
2	1247
1	716
2	216
-1	495
1	432
2	1064
1	3898
3	290
3	434
1	1864
0	2178
2	3957
0	4459
3	5092
5	5142
0	3656
2	5422
0	5472
6	2336
-1	5707
5	652
-1	846
1	507
2	259
2	514
0	1529
0	590
2	1069
0	925
2	850
3	2368
2	768
0	2934
0	3013
4	3338
0	3309
4	3406
0	3381
4	3671
0	4078
4	4246
6	4247
5	4613
0	4416
4	4960
0	3713
6	5882
3	1123
2	348
2	406
3	607
2	934
1	2073
0	2879
1	578
2	629
-1	978
2	1296
0	402
0	1302
2	1942
2	2309
6	2758
0	2878
2	2811
0	2795
2	478
3	1343
3	291
3	323
3	349
3	367
2	764
3	772
3	808
2	817
4	692
2	849
3	287
2	428
0	469
0	1736
0	2494
3	3149
0	3824
0	4579
3	334
3	338
3	336
2	392
3	400
3	333
3	341
1	332
3	369
3	376
3	373
3	420
3	422
3	337
3	381
3	362
3	364
2	331
3	413
2	360
3	335
3	426
3	343
2	277
3	344
3	951
2	562
2	475
3	668
2	674
-1	628
4	582
0	502
0	1001
2	763
3	1177
3	327
0	2040
-1	2113
0	610
5	681
2	782
3	783
3	813
-1	1174
2	1115
2	1183
2	2143
3	737
3	281
0	1456
3	1491
3	1493
4	1531
0	3815
1	4405
0	5175
0	4840
3	5254
0	5298
0	3630
0	5259
3	5307
3	5308
2	4362
3	5253
0	4131
3	305
3	306
2	508
2	479
2	854
3	860
2	865
0	920
3	985
3	1091
3	531
3	613
1	617
2	437
3	485
3	615
1	557
1	701
1	847
1	929
5	1704
4	2051
0	2085
0	841
-1	2098
0	2135
5	2083
3	2301
-1	2274
3	2330
1	1751
0	2255
-1	2257
4	2369
0	1584
0	2249
3	2417
0	2233
0	1612
0	1670
0	2415
0	2636
2	2581
0	2808
